단품코드,항만_재고,부평_재고,내부창고_합계
SPRPG37G6410095,2,0,2
SPRPG37G6410100,10,0,10
SPRPG37G6430100,2,0,2
SPRPG37G6460100,6,0,6
SPRPG37G64AA090,4,0,4
SPRPG37G64AA095,4,2,6
SPRPG37G64AA100,8,0,8
SPRPG37G7259090,4,0,4
SPRPG37G7285085,10,0,10
SPRPG37G7285090,6,0,6
SPRPG37G72AA085,10,32,42
SPRPG37G72AA090,2,16,18
SPRPG37G72AA095,8,8,16
SPRPG37KG320130,24,24,48
SPRPG37KG320140,20,22,42
SPRPG37KG320160,20,20,40
SPRPG37KG351130,20,30,50
SPRPG37KG351140,18,22,40
SPRPG37KG351150,18,24,42
SPRPG37KG351160,34,32,66
SPRPG37KG425120,16,0,16
SPRPG37KG425130,20,0,20
SPRPG37KG425140,18,0,18
SPRPG37KG425150,20,0,20
SPRPG37KG459120,36,0,36
SPRPG37KG459130,26,0,26
SPRPG37KG459140,8,0,8
SPRPG37KG459150,14,0,14
SPRPG37KG510120,142,0,142
SPRPG37KG510130,222,0,222
SPRPG37KG510140,322,0,322
SPRPG37KG510150,340,0,340
SPRPG37KG510160,242,0,242
SPRPG37KG519120,96,0,96
SPRPG37KG519130,162,0,162
SPRPG37KG519140,148,0,148
SPRPG37KG519150,26,0,26
SPRPG37KG519160,26,0,26
SPRPG37KG619120,4,0,4
SPRPG37KG619150,6,0,6
SPRPG37KG619160,8,0,8
SPRPG37KG620120,10,0,10
SPRPG37KG620150,2,0,2
SPRPG37KG710120,82,0,82
SPRPG37KG710130,60,0,60
SPRPG37KG710140,28,0,28
SPRPG37KG710150,38,0,38
SPRPG37KG719120,58,0,58
SPRPG37KG719130,54,0,54
SPRPG37KG719140,50,0,50
SPRPG37KG719150,18,0,18
SPRPG37KG810140,16,0,16
SPRPG37KG810150,56,0,56
SPRPG37KG810160,70,0,70
SPRPG37KG851110,20,0,20
SPRPG37KG851120,16,0,16
SPRPG37KG851130,112,0,112
SPRPG37KG851140,178,0,178
SPRPG37KG851150,22,0,22
SPRPG37KG851160,16,0,16
SPRPG37KG8AA130,20,0,20
SPRPG37KG8AA140,16,0,16
SPRPG37KG8AA150,22,0,22
SPRPG37KG8AA160,24,0,24
SPRPG37KG931120,16,6,22
SPRPG37KG931130,12,0,12
SPRPG37KG931140,26,6,32
SPRPG37KG931150,20,6,26
SPRPG37KG951120,20,4,24
SPRPG37KG951130,36,2,38
SPRPG37KG951140,38,0,38
SPRPG37KG951150,10,0,10
SPRPG37KU110130,10,0,10
SPRPG37KU110140,10,0,10
SPRPG37KU110150,22,0,22
SPRPG37KU110160,10,0,10
SPRPG37KU119130,6,0,6
SPRPG37KU119140,6,0,6
SPRPG37KU119150,6,0,6
SPRPG37KU119160,10,0,10
SPRPG37KU176130,14,0,14
SPRPG37KU176140,8,0,8
SPRPG37KU176150,6,0,6
SPRPG37KU176160,6,0,6
SPRPG37KU219130,28,0,28
SPRPG37KU219140,14,0,14
SPRPG37KU219150,74,0,74
SPRPG37KU219160,22,0,22
SPRPG37KU2AA130,38,0,38
SPRPG37KU2AA140,18,0,18
SPRPG37KU2AA150,24,0,24
SPRPG37KU2AA160,14,0,14
