exec_id,단품코드,채널,전일재고_장,이동IN_장,정상가,실제판매_장,추가판매_장
1,SPRNG37G0119090,이랜드몰,0,6,19900,0,0
1,SPRNG37G0133085,이랜드몰,0,3,19900,0,0
1,SPRNG37G0133095,이랜드몰,0,6,19900,0,0
1,SPRNG37G0139090,이랜드몰,0,6,19900,0,0
1,SPRNG37G01CB085,이랜드몰,0,5,19900,0,0
1,SPRNG37G03AC090,이랜드몰,0,7,19900,0,0
1,SPRNG37G03AC095,이랜드몰,0,7,19900,0,0
1,SPRNG37G0519095,이랜드몰,0,3,19900,0,0
1,SPRNG37G2219085,이랜드몰,0,7,19900,1,1
1,SPRNG37G8019085,이랜드몰,0,5,29900,1,1
1,SPRNG37G8019090,이랜드몰,0,3,29900,0,0
1,SPRNG37G9710090,이랜드몰,0,3,19900,0,0
1,SPRNG37G9719090,이랜드몰,0,3,19900,0,0
1,SPRPG24G5159085,이랜드몰,0,5,19900,0,0
1,SPRPG24G5160085,이랜드몰,0,15,19900,1,1
1,SPRPG25C50AA105,이랜드몰,0,4,19900,0,0
1,SPRPG25C5119110,이랜드몰,0,8,25900,0,0
1,SPRPG25G5026085,이랜드몰,0,7,29900,0,0
1,SPRPG25G5210085,이랜드몰,0,5,25900,0,0
1,SPRPG25G5210090,이랜드몰,0,5,25900,0,0
1,SPRPG25G5259095,이랜드몰,0,4,25900,0,0
1,SPRPG26C6110095,이랜드몰,0,2,25900,0,0
1,SPRPG26C6159095,이랜드몰,0,2,25900,2,2
1,SPRPG26C6159100,이랜드몰,0,2,25900,1,1
1,SPRPG26C6159105,이랜드몰,0,2,25900,0,0
1,SPRPG26C6164105,이랜드몰,0,3,25900,0,0
1,SPRPG26C6185095,이랜드몰,0,2,25900,0,0
1,SPRPG26C6185105,이랜드몰,0,2,25900,0,0
1,SPRPG37C5110090,이랜드몰,0,2,25900,0,0
1,SPRPG37C5110095,이랜드몰,0,4,25900,0,0
1,SPRPG37C5110100,이랜드몰,0,3,25900,0,0
1,SPRPG37C5110105,이랜드몰,0,2,25900,0,0
1,SPRPG37C5119090,이랜드몰,0,2,25900,0,0
1,SPRPG37C6160100,이랜드몰,0,2,29900,0,0
1,SPRPG37G3310085,이랜드몰,0,4,19900,0,0
1,SPRPG37G3339085,이랜드몰,0,4,19900,0,0
1,SPRPG37G5110085,이랜드몰,0,6,25900,0,0
1,SPRPG37G5110090,이랜드몰,0,4,25900,0,0
1,SPRPG37G5110095,이랜드몰,0,6,25900,0,0
1,SPRPG37G5133095,이랜드몰,0,4,25900,0,0
1,SPRPG37G51AA090,이랜드몰,0,3,25900,0,0
1,SPRPG37G5229090,이랜드몰,0,6,19900,0,0
1,SPRPG37G5229095,이랜드몰,0,4,19900,0,0
1,SPRPG37G5259090,이랜드몰,0,4,19900,0,0
1,SPRPG37G5315085,이랜드몰,0,4,19900,0,0
1,SPRPG37G54AC070,이랜드몰,0,7,29900,0,0
1,SPRPGA9C73AA100,이랜드몰,0,3,19900,2,2
1,SPRSG24G0130085,이랜드몰,0,13,25900,1,1
1,SPRSG24G0130095,이랜드몰,0,12,25900,0,0
1,SPRSG25C0415095,이랜드몰,0,18,29900,0,0
1,SPRSG25M0119100,이랜드몰,0,14,29900,0,0
1,SPRSG25M01AC090,이랜드몰,0,6,29900,0,0
1,SPRWG25C0210090,이랜드몰,0,10,15900,1,1
1,SPRWG25C0210095,이랜드몰,0,15,15900,1,1
1,SPRWG25C0219105,이랜드몰,1,13,15900,0,0
1,SPRWG25C02AD090,이랜드몰,0,6,15900,1,1
