단품코드,단품명,정상가,매출랭킹,온라인랭킹,출고율,온라인비중,누판율,주판율,주간외형매출,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기
SPSMG37KU250140,"[키즈][COOL] 썸머 비치 상하세트, (50)Blu",36435,1642,1642,0.92,0.7,0.5,0.15,291480,0,66,93,0,0,89,5,0,0,0,0,1,0,0,7,0
SPSMG37KU250150,,35940,3537,3537,0.92,0.7,0.5,0.15,107820,0,64,82,0,0,100,7,0,0,0,0,0,0,0,3,0
SPSMG37KU250160,,35940,2880,2880,0.92,0.7,0.5,0.15,143760,0,36,67,0,0,73,7,0,0,0,0,0,0,0,4,0
SPSMG37KU261110,,34130,4777,4777,0.92,0.7,0.5,0.15,68260,0,21,31,0,0,46,6,0,0,0,1,0,0,0,1,0
SPSMG37KU261120,,36930,2801,2801,0.92,0.7,0.5,0.15,147720,0,8,20,0,0,22,3,0,0,0,0,1,0,0,3,0
SPSMG37KU261130,,35940,3538,3538,0.92,0.7,0.5,0.15,107820,0,37,61,0,0,73,7,0,0,0,0,0,0,0,3,0
SPSMG37KU261140,,35940,1880,1880,0.92,0.7,0.5,0.15,251580,0,33,71,0,0,68,6,0,0,0,0,0,0,0,7,0
SPSMG37KU261150,"[키즈][COOL] 썸머 비치 상하세트, (61)Cor",35940,1514,1514,0.92,0.7,0.5,0.15,323460,0,37,59,0,0,56,7,0,0,0,0,0,0,0,9,0
SPSMG37KU261160,,35940,2461,2461,0.92,0.7,0.5,0.15,179700,0,35,57,0,0,50,7,0,0,0,0,0,0,0,5,0
SPSMG37KU284110,,28410,2929,2929,0.92,0.7,0.5,0.15,142050,0,32,53,0,0,52,7,0,0,0,2,0,0,0,3,0
SPSMG37KU284120,,35940,2462,2462,0.92,0.7,0.5,0.15,179700,0,26,51,0,0,58,4,0,0,0,0,0,0,0,5,0
SPSMG37KU284130,,35940,1059,1059,0.92,0.7,0.5,0.15,467220,0,51,87,0,0,54,6,0,0,0,0,0,0,0,13,0
SPSMG37KU284140,,36040,509,509,0.92,0.7,0.5,0.15,901010,0,56,99,5,0,51,6,0,0,0,1,2,0,0,22,0
SPSMG37KU284150,,35731,488,488,0.92,0.7,0.5,0.15,929020,0,67,115,0,0,65,7,0,0,0,1,0,0,0,25,0
SPSMG37KU284160,,36256,507,507,0.92,0.7,0.5,0.15,906420,0,46,97,0,0,53,5,0,0,0,0,0,0,0,25,0
SPSMG37KU310110,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (10)",36905,4486,4486,0.92,0.7,0.5,0.15,73810,80,11,15,7,0,25,0,0,0,0,1,0,1,0,0,0
SPSMG37KU310120,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (10)",0,9999,9999,0.92,0.7,0.5,0.15,0,18,2,5,3,0,15,0,0,0,0,0,0,0,0,0,0
SPSMG37KU310130,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (10)",35910,6387,6387,0.92,0.7,0.5,0.15,35910,13,0,5,3,0,15,0,0,0,0,1,0,0,0,0,0
SPSMG37KU310140,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (10)",0,9999,9999,0.92,0.7,0.5,0.15,0,4,5,5,3,0,7,0,0,0,0,0,0,0,0,0,0
SPSMG37KU310150,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (10)",0,9999,9999,0.92,0.7,0.5,0.15,0,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0
SPSMG37KU310160,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (10)",0,9999,9999,0.92,0.7,0.5,0.15,0,5,4,4,3,0,9,0,0,0,0,0,0,0,0,0,0
