매출랭킹,온라인랭킹,단품코드,단품명,정상가,출고율,누판율,주판율,온라인비중,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버
7824,7824,SPPPG25U2399110,(QR) [망그러진곰] 망고미랑 생일,49900,1.0,0.9773,0.0,0.3,0,0,0,0,0,0,2,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2510090,"[드리미즈] 반팔 파자마, S, (1",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2510095,"[드리미즈] 반팔 파자마, M, (1",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2510100,"[드리미즈] 반팔 파자마, L, (1",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2510105,"[드리미즈] 반팔 파자마, XL, (",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2526090,"[드리미즈] 반팔 파자마, S, (2",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2526095,"[드리미즈] 반팔 파자마, M, (2",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2526100,"[드리미즈] 반팔 파자마, L, (2",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2526105,"[드리미즈] 반팔 파자마, XL, (",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2535090,"[드리미즈] 반팔 파자마, S, (3",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2535095,"[드리미즈] 반팔 파자마, M, (3",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2535100,"[드리미즈] 반팔 파자마, L, (3",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2535105,"[드리미즈] 반팔 파자마, XL, (",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2551090,"[드리미즈] 반팔 파자마, S, (5",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2551095,"[드리미즈] 반팔 파자마, M, (5",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2551100,"[드리미즈] 반팔 파자마, L, (5",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2551105,"[드리미즈] 반팔 파자마, XL, (",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2580090,"[드리미즈] 반팔 파자마, S, (8",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2580095,"[드리미즈] 반팔 파자마, M, (8",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2580100,"[드리미즈] 반팔 파자마, L, (8",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2580105,"[드리미즈] 반팔 파자마, XL, (",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2585090,"[드리미즈] 반팔 파자마, S, (8",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2585095,"[드리미즈] 반팔 파자마, M, (8",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2585100,"[드리미즈] 반팔 파자마, L, (8",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2585105,"[드리미즈] 반팔 파자마, XL, (",39900,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0110090,"[하츠네미쿠] 반팔 티셔츠, S, (",29900,1.0,0.8889,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0110095,"[하츠네미쿠] 반팔 티셔츠, M, (",29900,1.0037,0.9185,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
